2019/07/17 21:30:29.508 [D]  Init All Success!!
2019/07/17 21:30:58.042 [D]  Partition:0, Offset:19804, Key:, Value:2019/07/17 21:30:51.967 [D]  etcd.watchKey : begin watchKey = :/logagent/conf/169.254.77.92
2019/07/17 21:30:58.143 [D]  Partition:0, Offset:19805, Key:, Value:2019/07/17 21:30:51.968 [D]  etcd.watchKey : begin watchKey = :/logagent/conf/fe80::a10a:9c4e:44c8:d72e
2019/07/17 21:30:58.234 [D]  Partition:0, Offset:19806, Key:, Value:2019/07/17 21:30:51.968 [D]  etcd.watchKey : begin watchKey = :/logagent/conf/fe80::8960:a07c:473b:a0d8
2019/07/17 21:30:58.336 [D]  Partition:0, Offset:19807, Key:, Value:2019/07/17 21:30:51.968 [D]  etcd.watchKey : begin watchKey = :/logagent/conf/192.168.162.1
2019/07/17 21:30:58.530 [D]  Partition:0, Offset:19808, Key:, Value:2019/07/17 21:30:51.968 [D]  etcd.watchKey : begin watchKey = :/logagent/conf/10.254.124.191
2019/07/17 21:30:58.636 [D]  Partition:0, Offset:19809, Key:, Value:2019/07/17 21:30:51.969 [D]  etcd.watchKey : begin watchKey = :/logagent/conf/fe80::e1f8:4b87:8b7c:8f69
2019/07/17 21:30:58.726 [D]  Partition:0, Offset:19810, Key:, Value:2019/07/17 21:30:51.969 [D]  etcd.watchKey : begin watchKey = :/logagent/conf/192.168.150.1
2019/07/17 21:30:58.811 [D]  Partition:0, Offset:19811, Key:, Value:2019/07/17 21:30:52.008 [I]  init kafka producer success 
2019/07/17 21:30:58.909 [D]  Partition:0, Offset:19812, Key:, Value:2019/07/17 21:30:52.008 [D]  Init All Success!!
2019/07/17 21:35:13.338 [D]  Partition:0, Offset:19813, Key:, Value:2019/07/17 21:35:13.270 [D]  etcd.watchKey : get type and config from etcd, type = [PUT], kv = : "/logagent/conf/10.254.124.191" , "[{\"logpath\":\"D:/goprojects/src/logagent/logs/logagent.log\",\"topic\":\"nginx_log\"},{\"logpath\":\"D:/project/nginx/logs/error.log\",\"topic\":\"nginx_log_err\"}]"
2019/07/17 21:35:13.733 [D]  Partition:0, Offset:19814, Key:, Value:
2019/07/17 21:35:13.823 [D]  Partition:0, Offset:19815, Key:, Value:2019/07/17 21:35:13.270 [D]  etcd.watchKey : get config from etcd succ, [{D:/goprojects/src/logagent/logs/logagent.log nginx_log} {D:/project/nginx/logs/error.log nginx_log_err}]
2019/07/17 21:35:57.195 [D]  Partition:0, Offset:19816, Key:, Value:2019/07/17 21:35:56.953 [D]  etcd.watchKey : get type and config from etcd, type = [PUT], kv = : "/logagent/conf/10.254.124.191" , "[{\"logpath\":\"D:/goprojects/src/logagent/logs/logagent.log\",\"topic\":\"nginx_log\"},{\"logpath\":\"D:/project/nginx/logs/error.log\",\"topic\":\"nginx_log_err\"}]"
2019/07/17 21:35:57.310 [D]  Partition:0, Offset:19817, Key:, Value:
2019/07/17 21:35:57.404 [D]  Partition:0, Offset:19818, Key:, Value:2019/07/17 21:35:56.953 [D]  etcd.watchKey : get config from etcd succ, [{D:/goprojects/src/logagent/logs/logagent.log nginx_log} {D:/project/nginx/logs/error.log nginx_log_err}]
2019/07/17 21:48:06.083 [D]  Partition:0, Offset:19819, Key:, Value:2019/07/17 21:26:10.040 [D]  etcd.getConfig : success ,resp from etcd :[]
2019/07/17 21:48:06.209 [D]  Partition:0, Offset:19820, Key:, Value:2019/07/17 21:26:10.040 [D]  etcd.getConfig : success ,resp from etcd :[]
2019/07/17 21:48:06.326 [D]  Partition:0, Offset:19821, Key:, Value:2019/07/17 21:26:10.040 [D]  etcd.getConfig : success ,resp from etcd :[]
2019/07/17 21:48:06.441 [D]  Partition:0, Offset:19822, Key:, Value:2019/07/17 21:26:10.041 [D]  etcd.getConfig : success ,resp from etcd :[]
2019/07/17 21:48:06.542 [D]  Partition:0, Offset:19823, Key:, Value:2019/07/17 21:26:10.041 [D]  etcd.getConfig : success ,resp from etcd :[]
2019/07/17 21:48:06.649 [D]  Partition:0, Offset:19824, Key:, Value:2019/07/17 21:26:10.041 [D]  etcd.getConfig : success ,resp from etcd :[key:"/logagent/conf/192.168.162.1" create_revision:35 mod_revision:36 version:2 value:"[{\"logpath\":\"D:/goprojects/src/logagent/logs/logagent.log\",\"topic\":\"nginx_log\"},{\"logpath\":\"D:/project/nginx/logs/error.log\",\"topic\":\"nginx_log_err\"}]" ]
2019/07/17 21:48:06.751 [D]  Partition:0, Offset:19825, Key:, Value:2019/07/17 21:26:10.041 [D]  etcd.getConfig log Config is : [[{D:/goprojects/src/logagent/logs/logagent.log nginx_log} {D:/project/nginx/logs/error.log nginx_log_err}]]
2019/07/17 21:48:06.849 [D]  Partition:0, Offset:19826, Key:, Value:2019/07/17 21:26:10.042 [D]  etcd.getConfig : success ,resp from etcd :[]
2019/07/17 21:48:06.960 [D]  Partition:0, Offset:19827, Key:, Value:2019/07/17 21:26:10.042 [D]  etcd.getConfig : success ,resp from etcd :[]
2019/07/17 21:48:07.058 [D]  Partition:0, Offset:19828, Key:, Value:2019/07/17 21:26:10.042 [D]  etcd.getConfig : success ,resp from etcd :[]
2019/07/17 21:48:07.168 [D]  Partition:0, Offset:19829, Key:, Value:2019/07/17 21:26:10.043 [D]  etcd.getConfig : success ,resp from etcd :[key:"/logagent/conf/10.254.124.191" create_revision:25 mod_revision:48 version:18 value:"[{\"logpath\":\"D:/goprojects/src/logagent/logs/logagent.log\",\"topic\":\"nginx_log\"},{\"logpath\":\"D:/project/nginx/logs/error.log\",\"topic\":\"nginx_log_err\"}]" ]
2019/07/17 21:48:07.283 [D]  Partition:0, Offset:19830, Key:, Value:2019/07/17 21:26:10.043 [D]  etcd.getConfig log Config is : [[{D:/goprojects/src/logagent/logs/logagent.log nginx_log} {D:/project/nginx/logs/error.log nginx_log_err}]]
2019/07/17 21:48:07.376 [D]  Partition:0, Offset:19831, Key:, Value:2019/07/17 21:26:10.043 [D]  etcd.initEtcdWatcher : key = /logagent/conf/fe80::f0c7:89d7:3d41:4d5c:
2019/07/17 21:48:07.475 [D]  Partition:0, Offset:19832, Key:, Value:2019/07/17 21:26:10.043 [D]  etcd.initEtcdWatcher : key = /logagent/conf/169.254.77.92:
2019/07/17 21:48:07.568 [D]  Partition:0, Offset:19833, Key:, Value:2019/07/17 21:26:10.043 [D]  etcd.initEtcdWatcher : key = /logagent/conf/fe80::4493:9f90:85a7:cd56:
2019/07/17 21:48:07.658 [D]  Partition:0, Offset:19834, Key:, Value:2019/07/17 21:26:10.043 [D]  etcd.initEtcdWatcher : key = /logagent/conf/169.254.205.86:
2019/07/17 21:48:07.751 [D]  Partition:0, Offset:19835, Key:, Value:2019/07/17 21:26:10.043 [D]  etcd.initEtcdWatcher : key = /logagent/conf/fe80::e1f8:4b87:8b7c:8f69:
2019/07/17 21:48:07.842 [D]  Partition:0, Offset:19836, Key:, Value:2019/07/17 21:26:10.043 [D]  etcd.initEtcdWatcher : key = /logagent/conf/192.168.162.1:
2019/07/17 21:48:07.959 [D]  Partition:0, Offset:19837, Key:, Value:2019/07/17 21:26:10.043 [D]  etcd.initEtcdWatcher : key = /logagent/conf/fe80::a10a:9c4e:44c8:d72e:
2019/07/17 21:48:08.050 [D]  Partition:0, Offset:19838, Key:, Value:2019/07/17 21:26:10.043 [D]  etcd.initEtcdWatcher : key = /logagent/conf/192.168.150.1:
2019/07/17 21:48:08.143 [D]  Partition:0, Offset:19839, Key:, Value:2019/07/17 21:26:10.043 [D]  etcd.initEtcdWatcher : key = /logagent/conf/fe80::8960:a07c:473b:a0d8:
2019/07/17 21:48:08.234 [D]  Partition:0, Offset:19840, Key:, Value:2019/07/17 21:26:10.043 [D]  etcd.initEtcdWatcher : key = /logagent/conf/10.254.124.191:
2019/07/17 21:48:08.327 [D]  Partition:0, Offset:19841, Key:, Value:2019/07/17 21:26:10.043 [D]  Init etcd Success!!
2019/07/17 21:48:08.433 [D]  Partition:0, Offset:19842, Key:, Value:2019/07/17 21:26:10.045 [D]  etcd.watchKey : begin watchKey = :/logagent/conf/fe80::a10a:9c4e:44c8:d72e
2019/07/17 21:48:08.535 [D]  Partition:0, Offset:19843, Key:, Value:2019/07/17 21:26:10.045 [D]  etcd.watchKey : begin watchKey = :/logagent/conf/fe80::4493:9f90:85a7:cd56
2019/07/17 21:48:08.624 [D]  Partition:0, Offset:19844, Key:, Value:2019/07/17 21:26:10.045 [D]  etcd.watchKey : begin watchKey = :/logagent/conf/fe80::f0c7:89d7:3d41:4d5c
2019/07/17 21:48:08.726 [D]  Partition:0, Offset:19845, Key:, Value:2019/07/17 21:26:10.045 [D]  etcd.watchKey : begin watchKey = :/logagent/conf/169.254.205.86
2019/07/17 21:48:08.816 [D]  Partition:0, Offset:19846, Key:, Value:2019/07/17 21:26:10.045 [D]  etcd.watchKey : begin watchKey = :/logagent/conf/fe80::8960:a07c:473b:a0d8
2019/07/17 21:48:08.918 [D]  Partition:0, Offset:19847, Key:, Value:2019/07/17 21:26:10.045 [D]  etcd.watchKey : begin watchKey = :/logagent/conf/169.254.77.92
2019/07/17 21:48:09.008 [D]  Partition:0, Offset:19848, Key:, Value:2019/07/17 21:26:10.045 [D]  etcd.watchKey : begin watchKey = :/logagent/conf/10.254.124.191
